,ground_truth,ground_truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
-3749x-3749,MPA,MPA,3,2,3,0,5,3,3,6,3,2
-3746x-3742,MPA,MPA,2,1,3,1,3,3,3,6,3,4
-3743x-3791,MPA,MPA,3,0,6,8,3,3,0,6,3,4
-3738x-3773,MPA,MPA,3,1,6,1,3,3,2,6,3,4
-3736x-3896,MPA,MPA,3,4,9,14,6,3,4,3,3,5
-3725x-3899,MPA,MPA,3,4,9,14,6,3,4,3,3,5
-3720x-3785,MPA,MPA,3,4,6,4,4,3,4,6,3,5
-3717x-3761,MPA,MPA,1,1,6,1,3,3,2,6,3,4
-3716x-3805,MPA,MPA,3,2,6,0,5,3,3,6,3,2
-3715x-3897,MPA,MPA,3,4,9,14,6,3,4,3,3,5
-3713x-3847,MPA,MPA,3,8,3,11,3,3,7,3,3,2
-3712x-3717,MPA,MPA,1,2,6,0,5,3,3,6,3,2
-3712x-3904,MPA,MPA,3,4,9,14,6,3,4,3,3,5
-3706x-3899,MPA,MPA,3,4,9,14,6,3,4,3,3,5
-3703x-3905,MPA,MPA,3,4,9,14,6,3,4,3,3,5
-3701x-3749,MPA,MPA,1,2,3,0,5,3,3,6,3,2
-3703x-3867,MPA,MPA,3,2,3,0,5,3,3,3,3,2
-3694x-3754,MPA,MPA,3,2,3,0,5,3,3,6,3,2
-3687x-3868,MPA,MPA,3,2,3,0,5,3,3,3,3,2
-3682x-3797,MPA,MPA,3,1,5,1,3,3,2,6,3,7
-3678x-3901,MPA,MPA,3,4,9,14,6,3,4,3,3,5
-3680x-3763,MPA,MPA,3,10,6,19,4,3,9,6,3,2
-3677x-3869,MPA,MPA,3,2,3,0,5,3,3,3,3,2
-3671x-3817,MPA,MPA,3,2,5,20,5,3,3,6,3,2
-3668x-3874,MPA,MPA,3,2,3,0,5,3,3,3,3,6
-3665x-3738,MPA,MPA,2,1,6,1,3,2,2,3,3,7
-3651x-3871,MPA,MPA,3,2,3,0,5,3,3,6,3,2
-3647x-3724,MPA,MPA,2,1,6,1,3,2,2,3,3,7
-3645x-3868,MPA,MPA,3,2,3,0,5,3,3,6,3,2
-3647x-3775,MPA,MPA,2,8,6,11,3,2,7,3,3,4
-3646x-3759,MPA,MPA,2,2,6,0,5,2,3,3,3,2
-3635x-3818,MPA,MPA,2,2,6,0,5,3,3,3,3,2
-3631x-3721,MPA,MPA,2,1,6,1,3,2,2,3,3,4
-3624x-3777,MPA,MPA,2,1,6,6,3,2,1,3,3,7
-3614x-3862,MPA,MPA,3,2,6,0,5,3,3,3,3,2
