,ground_truth,ground_truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
-3033x2825,MPA,MPA,6,5,1,3,1,1,3,3,4,5
-3027x2956,MPA,MPA,3,1,9,14,4,1,0,3,4,1
-3021x2962,MPA,MPA,3,1,9,14,4,1,0,3,4,1
-3017x2996,MPA,MPA,3,1,1,14,4,1,0,3,4,1
-3005x2878,MPA,MPA,6,5,2,3,1,1,3,3,4,5
-3005x2898,MPA,MPA,6,5,2,3,1,1,3,3,4,5
-3002x2965,MPA,MPA,3,1,9,14,4,1,1,3,4,1
-2997x3005,MPA,MPA,2,2,1,0,4,1,2,3,4,6
-2967x2894,MPA,MPA,3,1,1,14,4,1,0,3,4,1
-2963x2927,MPA,MPA,3,0,1,14,4,1,0,3,4,1
-2955x2874,MPA,MPA,3,0,0,2,4,1,1,3,4,1
-2953x2982,MPA,MPA,3,2,1,0,4,1,2,3,4,6
-2949x2836,MPA,MPA,5,7,1,4,7,5,4,3,4,3
-2948x2959,MPA,MPA,1,1,1,5,4,1,0,3,4,1
-2943x2897,MPA,MPA,2,9,1,11,4,1,7,3,4,0
-2941x3006,MPA,MPA,3,0,1,2,4,1,1,3,4,1
-2932x2961,MPA,MPA,2,10,1,19,4,1,9,3,4,6
-2922x2956,MPA,MPA,6,5,1,18,1,5,3,3,4,5
-2915x2823,MPA,MPA,2,2,8,0,7,5,2,3,4,6
-2910x2980,MPA,MPA,2,2,1,0,4,1,2,3,4,6
-2907x2825,MPA,MPA,6,8,8,6,7,5,3,3,4,6
-2903x2931,MPA,MPA,2,1,1,14,4,1,0,3,4,1
-2898x2823,MPA,MPA,6,8,8,18,7,5,3,3,4,5
-2898x2876,MPA,MPA,2,7,1,4,7,5,4,3,4,3
-2898x2865,MPA,MPA,2,2,1,0,7,5,2,3,4,6
-2883x2959,MPA,MPA,2,2,1,0,4,1,2,3,4,6
-2874x2836,MPA,MPA,6,2,8,0,7,5,2,3,3,6
-2870x2948,MPA,MPA,2,7,1,4,4,1,4,3,4,3
-2868x2875,MPA,MPA,2,2,1,0,7,5,2,3,3,6
-2859x2960,MPA,MPA,6,5,1,18,1,1,3,3,4,5
-2856x2828,MPA,MPA,6,5,8,18,1,5,3,3,3,5
-3026x2870,MPA,MPA,6,1,2,14,4,1,0,3,4,7
-3012x2884,MPA,MPA,6,0,2,2,4,1,3,3,4,1
-2958x3006,MPA,MPA,3,1,1,14,4,1,0,3,4,1
-2956x2952,MPA,MPA,3,1,1,14,4,1,0,3,4,1
-2923x2947,MPA,MPA,6,5,1,18,1,1,3,3,4,5
-2923x2845,MPA,MPA,2,2,1,0,7,5,2,3,4,6
-2896x2907,MPA,MPA,3,1,1,14,7,1,0,3,4,1
-2866x2826,MPA,MPA,6,5,8,18,1,5,3,3,3,5
-2867x2900,MPA,MPA,2,2,1,0,7,1,2,8,4,6
-2943x2904,MPA,MPA,3,2,1,0,4,1,2,3,4,6
-2891x2844,MPA,MPA,6,7,8,4,7,5,4,3,4,3
-2954x2966,MPA,MPA,3,1,1,14,4,1,0,3,4,1
-2877x2944,MPA,MPA,2,1,1,14,4,1,4,3,4,1
-2858x2987,MPA,MPA,6,2,1,0,4,1,2,3,4,6
-2982x2840,MPA,MPA,2,9,1,11,4,1,7,3,4,0
-2938x2941,MPA,MPA,1,4,1,1,4,1,0,3,4,1
-2911x2949,MPA,MPA,6,5,1,18,1,5,3,3,4,5
-2853x2855,MPA,MPA,2,7,8,4,7,5,4,3,3,3
-3031x3179,MPA,MPA,3,12,1,24,4,1,1,3,4,4
-3024x3059,MPA,MPA,4,2,1,0,4,1,2,3,4,6
-3020x3074,MPA,MPA,4,1,1,5,4,1,1,3,4,1
-3017x3191,MPA,MPA,3,0,1,10,4,1,1,3,4,1
-3017x3021,MPA,MPA,6,5,1,18,1,1,3,3,4,5
-3010x3164,MPA,MPA,5,7,1,4,4,1,4,3,4,3
-3012x3082,MPA,MPA,4,1,1,14,4,1,0,3,4,1
-3005x3135,MPA,MPA,3,0,1,2,4,1,1,3,4,1
-2998x3140,MPA,MPA,3,1,1,5,4,1,1,3,4,1
-2996x3187,MPA,MPA,3,1,1,5,4,1,0,3,4,1
-2991x3049,MPA,MPA,3,1,1,14,4,1,0,3,4,1
