,ground_truth,ground_truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
-2914x-601,MPA,MPA,2,3,4,0,1,3,2,4,2,3
-2908x-509,MPA,MPA,2,3,2,0,1,3,2,4,2,3
-2904x-495,MPA,MPA,2,5,2,1,1,3,4,4,2,5
-2902x-540,MPA,MPA,2,5,2,1,1,3,4,4,2,5
-2893x-483,MPA,MPA,8,6,2,9,6,3,6,4,2,4
-2892x-574,MPA,MPA,2,1,2,13,1,3,3,4,2,0
-2893x-550,MPA,MPA,2,3,2,0,1,3,2,4,2,3
-2881x-555,MPA,MPA,2,5,2,1,1,3,4,4,2,5
-2877x-637,MPA,MPA,2,3,4,0,1,3,2,4,2,3
-2877x-520,MPA,MPA,2,9,7,14,1,3,9,4,2,3
-2874x-589,MPA,MPA,2,5,6,1,1,3,4,4,2,5
-2843x-613,MPA,MPA,2,3,4,0,1,3,2,4,2,3
-2837x-524,MPA,MPA,2,3,6,0,1,3,2,4,2,3
-2837x-557,MPA,MPA,2,5,6,1,1,3,4,4,2,5
-2823x-559,MPA,MPA,2,5,6,1,1,3,4,4,2,5
-2823x-479,MPA,MPA,2,5,2,1,1,3,4,4,2,5
-2819x-544,MPA,MPA,2,1,6,12,1,3,3,4,2,0
-2818x-533,MPA,MPA,2,2,6,5,1,3,3,4,2,6
-2817x-650,MPA,MPA,2,3,4,0,1,3,2,4,2,3
-2814x-465,MPA,MPA,2,3,2,0,1,3,2,4,2,3
-2797x-573,MPA,MPA,3,1,6,7,1,3,3,4,2,0
-2790x-615,MPA,MPA,2,3,4,0,1,3,2,4,2,3
-2788x-581,MPA,MPA,2,9,4,14,1,3,9,4,2,3
-2786x-531,MPA,MPA,2,5,4,1,1,3,4,4,2,5
-2780x-561,MPA,MPA,3,2,4,4,1,3,0,4,2,1
-2776x-507,MPA,MPA,2,3,4,0,1,0,2,4,2,3
-2773x-605,MPA,MPA,2,3,4,0,1,3,2,4,2,3
-2767x-472,MPA,MPA,2,5,2,1,5,0,4,4,2,5
-2750x-473,MPA,MPA,3,9,2,14,5,0,9,4,2,0
-2753x-536,MPA,MPA,2,5,4,1,1,0,4,4,2,5
-2751x-514,MPA,MPA,2,5,4,1,1,0,4,4,2,5
-2749x-585,MPA,MPA,2,9,4,14,1,3,9,4,2,3
-2749x-498,MPA,MPA,3,1,2,12,1,0,3,4,2,0
-2742x-598,MPA,MPA,2,3,4,0,1,3,2,4,2,3
-2854x-609,MPA,MPA,2,3,6,0,1,3,2,4,2,3
-2849x-479,MPA,MPA,2,3,1,19,1,3,2,4,2,3
-2828x-581,MPA,MPA,2,3,6,0,1,3,2,4,2,3
-2809x-502,MPA,MPA,2,1,1,12,1,3,3,4,2,0
