,ground_truth,ground_truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
1148x-733,MPA,MPA,8,10,8,21,3,5,10,5,3,1
1150x-713,MPA,MPA,8,6,8,7,4,5,6,5,3,3
1154x-761,MPA,MPA,3,3,2,11,3,5,10,5,3,7
1162x-823,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1174x-690,MPA,MPA,2,10,5,21,4,5,10,1,3,6
1179x-817,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1183x-857,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1187x-715,MPA,MPA,3,0,3,1,6,5,0,5,3,6
1197x-860,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1202x-752,MPA,MPA,3,3,5,0,3,5,3,5,3,7
1208x-697,MPA,MPA,3,5,5,15,3,5,4,6,3,1
1207x-866,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1213x-695,MPA,MPA,3,9,3,12,3,5,4,6,3,7
1216x-736,MPA,MPA,3,9,5,12,3,5,9,5,3,7
1218x-804,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1228x-751,MPA,MPA,3,3,5,0,3,5,3,5,3,7
1235x-785,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1235x-796,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1239x-752,MPA,MPA,3,3,5,0,3,5,3,5,3,7
1243x-697,MPA,MPA,3,3,5,0,3,5,3,6,3,7
1254x-818,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1248x-711,MPA,MPA,3,6,5,7,3,5,6,6,3,3
1251x-808,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1252x-802,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1255x-746,MPA,MPA,3,10,5,21,3,5,10,5,3,7
1258x-855,MPA,MPA,4,5,8,15,1,5,4,5,3,1
1259x-863,MPA,MPA,4,5,8,15,1,5,4,5,3,4
