,Slice,Ground Truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
260032,2,outside_VISp,6,0,0,1,1,0,1,5,1,1
260034,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260036,2,outside_VISp,6,0,0,1,1,0,1,5,1,1
260037,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260039,2,outside_VISp,6,3,0,3,1,0,0,5,1,0
260040,2,outside_VISp,6,1,0,2,1,0,0,5,1,0
260041,2,outside_VISp,6,1,0,2,1,0,1,5,5,1
260042,2,outside_VISp,6,0,0,6,1,0,1,5,5,1
260043,2,outside_VISp,6,1,0,2,1,0,4,1,1,0
260044,2,outside_VISp,6,0,0,1,1,0,1,1,1,0
260045,2,outside_VISp,6,1,0,2,1,0,0,5,5,0
260046,2,outside_VISp,6,0,0,6,1,0,1,5,5,1
260047,2,outside_VISp,6,1,0,2,1,0,0,5,1,0
260048,2,outside_VISp,6,0,0,6,1,0,2,5,5,1
260049,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260050,2,outside_VISp,6,2,0,4,1,0,2,5,5,2
260051,2,outside_VISp,6,0,0,1,1,0,1,5,1,1
260052,2,outside_VISp,6,1,0,2,5,0,0,1,1,0
260053,2,outside_VISp,1,0,1,2,5,0,4,1,1,1
260054,2,outside_VISp,6,1,0,2,5,0,0,1,1,0
260055,2,outside_VISp,6,2,0,4,1,0,2,5,5,2
260056,2,outside_VISp,6,1,0,2,1,0,0,5,5,0
260057,2,outside_VISp,6,1,0,2,5,0,0,1,1,0
260058,2,outside_VISp,6,1,0,2,1,0,1,5,5,0
260059,2,outside_VISp,1,2,1,4,5,0,2,2,1,2
260060,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260062,2,outside_VISp,6,1,0,2,5,0,0,1,1,0
260063,2,outside_VISp,1,0,1,1,5,0,4,1,1,1
260064,2,outside_VISp,1,2,1,9,2,0,2,1,1,2
260066,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260067,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260069,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260070,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260071,2,outside_VISp,1,5,1,11,6,0,4,1,1,4
260072,2,outside_VISp,6,0,0,1,1,0,1,1,1,1
260073,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260074,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260075,2,outside_VISp,6,5,0,7,6,0,4,5,5,4
260076,2,outside_VISp,6,1,0,2,1,0,1,1,5,1
260077,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260078,2,outside_VISp,1,1,1,2,5,0,4,1,1,0
260079,2,outside_VISp,1,2,1,9,5,2,2,1,1,2
260080,2,outside_VISp,3,2,0,12,5,0,2,1,1,2
260081,2,outside_VISp,3,4,1,5,5,0,3,1,1,5
260082,2,outside_VISp,6,0,0,1,1,0,1,1,1,1
260083,2,outside_VISp,3,4,1,5,5,0,3,1,1,5
260084,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260085,2,outside_VISp,6,3,0,0,1,0,0,1,5,0
260086,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260087,2,outside_VISp,1,4,1,5,5,2,3,1,1,5
260088,2,outside_VISp,6,0,0,1,1,0,1,5,5,1
260090,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260091,2,outside_VISp,1,2,1,4,5,2,2,1,1,2
260092,2,outside_VISp,1,1,1,2,5,2,4,1,1,3
260093,2,outside_VISp,1,5,0,7,6,0,4,5,5,4
260094,2,outside_VISp,1,4,0,5,1,0,3,1,1,5
260095,2,outside_VISp,1,0,1,10,5,2,4,1,1,3
260097,2,outside_VISp,1,1,0,2,1,0,0,5,5,0
260098,2,outside_VISp,1,5,1,11,6,0,4,1,1,4
260099,2,outside_VISp,6,1,1,2,5,0,0,1,1,3
260100,2,outside_VISp,1,1,1,2,5,0,0,1,1,0
260101,2,outside_VISp,1,0,0,1,1,0,1,5,5,1
260102,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260103,2,outside_VISp,6,1,0,2,1,0,0,1,1,0
260104,2,outside_VISp,1,5,1,11,6,2,4,1,1,4
260105,2,outside_VISp,1,2,1,8,5,2,2,1,1,2
260107,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260109,2,outside_VISp,1,1,0,2,1,0,0,5,1,0
260110,2,outside_VISp,1,0,0,10,1,0,1,5,1,1
260111,2,outside_VISp,1,0,1,1,2,2,4,1,1,1
260112,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260113,2,outside_VISp,1,2,0,9,1,0,2,1,1,2
260114,2,outside_VISp,6,0,1,1,1,0,1,1,1,1
260115,2,outside_VISp,6,5,1,13,6,0,4,1,1,4
260116,2,outside_VISp,1,1,1,2,5,2,0,1,1,1
260117,2,outside_VISp,1,1,1,2,5,0,0,1,1,3
260118,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260120,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260121,2,outside_VISp,6,5,1,7,6,0,4,1,1,4
260122,2,outside_VISp,6,0,1,1,1,0,4,1,1,0
260123,2,outside_VISp,1,4,1,5,2,2,3,1,1,5
260124,2,outside_VISp,6,5,1,7,1,0,4,1,1,4
260125,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260126,2,outside_VISp,6,0,0,1,1,0,1,5,1,0
260127,2,outside_VISp,6,2,1,4,5,0,2,1,1,2
260128,2,outside_VISp,1,1,1,2,5,2,0,1,1,3
260130,2,outside_VISp,6,0,1,1,1,0,1,1,1,1
260131,2,outside_VISp,1,0,1,10,2,2,1,1,1,1
260132,2,outside_VISp,2,0,1,6,2,2,1,1,1,1
260133,2,outside_VISp,1,1,1,2,2,2,0,1,1,0
260134,2,outside_VISp,6,0,0,1,1,0,1,5,1,1
260135,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260136,2,outside_VISp,6,4,0,5,1,0,3,1,1,5
260137,2,outside_VISp,6,1,0,2,1,0,0,1,1,0
260138,2,outside_VISp,6,4,1,5,5,0,3,1,1,5
260139,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260140,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260141,2,outside_VISp,6,2,1,12,5,0,2,1,1,2
260142,2,outside_VISp,6,1,0,2,1,0,0,1,1,0
260144,2,outside_VISp,6,2,0,4,1,0,2,5,1,2
260147,2,outside_VISp,6,1,1,2,1,0,0,5,1,0
260148,2,outside_VISp,6,1,1,2,5,0,0,1,1,4
260149,2,outside_VISp,1,1,1,2,2,2,0,1,1,0
260151,2,outside_VISp,6,1,1,2,1,0,0,5,1,0
260153,2,outside_VISp,1,1,1,2,5,0,0,1,1,3
260154,2,outside_VISp,1,1,1,2,5,0,0,1,1,0
260155,2,outside_VISp,1,1,1,2,5,0,0,1,1,1
260157,2,outside_VISp,1,2,1,4,5,0,2,2,1,2
260158,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260159,2,outside_VISp,2,5,1,11,6,2,4,1,1,4
260160,2,outside_VISp,1,1,1,2,5,2,0,1,1,0
260161,2,outside_VISp,1,0,1,6,2,2,1,1,1,1
260162,2,outside_VISp,6,1,1,2,5,0,0,5,1,1
260164,2,outside_VISp,1,5,1,11,6,0,4,1,1,4
260165,2,outside_VISp,2,5,1,7,6,2,4,1,1,4
260166,2,outside_VISp,1,5,1,7,6,2,4,1,1,4
260167,2,outside_VISp,1,2,1,12,2,2,2,1,1,2
260168,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260169,2,outside_VISp,1,5,1,11,6,2,4,1,1,4
260170,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260172,2,outside_VISp,1,1,1,2,5,0,0,1,1,1
260173,2,outside_VISp,2,0,1,6,2,2,1,1,1,1
260174,2,outside_VISp,1,4,1,5,5,2,3,2,1,5
260175,2,outside_VISp,1,3,1,1,5,0,1,1,1,1
260176,2,outside_VISp,1,2,1,8,5,0,2,2,1,2
260177,2,outside_VISp,1,2,1,12,5,0,2,2,1,2
260178,2,outside_VISp,1,5,1,11,6,0,4,1,1,4
260179,2,outside_VISp,1,0,1,6,2,2,1,1,1,1
260181,2,outside_VISp,1,0,1,1,2,2,2,1,1,1
260182,2,outside_VISp,6,1,1,2,5,0,0,2,1,0
260183,2,outside_VISp,1,2,1,9,2,2,2,1,1,2
260184,2,outside_VISp,1,1,1,2,2,0,0,1,1,3
260186,2,outside_VISp,1,5,1,11,6,2,4,1,1,4
260187,2,outside_VISp,6,2,1,12,5,0,1,1,1,1
260188,2,outside_VISp,1,0,1,10,2,2,1,1,1,1
260189,2,outside_VISp,1,1,1,2,5,0,1,4,1,0
260190,2,outside_VISp,1,5,1,7,6,0,4,1,1,4
260191,2,outside_VISp,1,0,1,6,2,2,0,1,1,1
260193,2,outside_VISp,1,2,1,9,2,2,2,1,1,2
260194,2,outside_VISp,1,2,1,4,2,2,2,1,1,2
260195,2,outside_VISp,1,2,1,4,2,2,2,1,7,2
260196,2,outside_VISp,6,1,1,2,5,0,0,1,1,0
260197,2,outside_VISp,1,2,1,4,2,2,2,2,1,2
260198,2,outside_VISp,1,1,1,2,2,2,0,1,1,1
260199,2,outside_VISp,1,4,1,5,2,2,3,1,7,5
260201,2,outside_VISp,1,0,1,6,2,2,1,1,1,1
260202,2,outside_VISp,1,2,1,12,6,0,2,2,1,2
260203,2,outside_VISp,1,0,1,1,2,2,1,1,1,1
260204,2,outside_VISp,1,1,1,2,2,2,0,1,1,0
260205,2,outside_VISp,1,0,1,6,2,2,1,1,1,1
260206,2,outside_VISp,1,1,1,2,5,0,0,1,1,0
260208,2,outside_VISp,1,1,1,2,2,2,0,1,1,3
260209,2,outside_VISp,1,3,1,3,5,0,1,2,1,2
260210,2,outside_VISp,1,0,1,10,2,2,1,1,1,1
260211,2,outside_VISp,2,5,1,11,6,2,4,1,1,4
260212,2,outside_VISp,1,0,1,10,2,2,1,1,1,1
260213,2,outside_VISp,1,5,1,11,6,0,4,1,1,4
260214,2,outside_VISp,1,5,1,7,6,2,4,1,1,4
260215,2,outside_VISp,1,1,1,2,5,0,0,1,1,0
260216,2,outside_VISp,1,1,1,2,2,2,1,1,7,1
260217,2,outside_VISp,1,2,1,4,5,0,2,2,1,2
260218,2,outside_VISp,1,1,1,2,5,0,0,1,1,0
260219,2,outside_VISp,1,1,1,2,2,2,1,1,1,1
260220,2,outside_VISp,2,3,1,8,2,2,2,1,1,0
260221,2,outside_VISp,1,1,1,2,5,0,0,1,1,0
260222,2,outside_VISp,1,1,1,2,2,2,0,1,1,1
260223,2,outside_VISp,1,1,1,2,2,2,1,1,7,1
260224,2,outside_VISp,1,5,1,7,6,2,4,1,1,4
