,slice_id,ct,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
47x2553-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
69x6221-2,BZ14,eL5-3,2,1,3,1,1,4,3,1,2,0
84x2248-2,BZ14,VIP,2,1,3,1,1,2,3,1,2,2
117x54-2,BZ14,Endo,2,1,2,1,2,2,3,1,2,0
157x3715-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
112x161-2,BZ14,Endo,2,1,2,1,2,2,3,1,2,0
108x274-2,BZ14,Endo,2,1,2,1,2,2,3,1,2,0
150x2720-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
184x507-2,BZ14,L5-1,2,1,2,1,2,2,1,1,2,3
209x4104-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
225x3964-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
327x4330-2,BZ14,Endo,1,1,3,1,1,2,3,1,2,0
278x3599-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
374x5376-2,BZ14,Astro,2,1,3,1,1,4,3,1,2,0
411x5024-2,BZ14,eL6-2,2,1,3,1,1,4,3,1,2,0
437x5249-2,BZ14,Astro,2,1,3,1,1,4,3,1,2,0
431x4591-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
455x2706-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
561x138-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
538x5785-2,BZ14,Astro,2,1,3,1,1,4,3,1,2,0
530x2833-2,BZ14,Smc,2,1,3,1,1,2,3,1,2,0
539x2954-2,BZ14,Endo,2,1,3,1,1,2,3,1,2,0
587x1839-2,BZ14,Astro,1,7,2,4,1,2,3,1,2,2
606x6172-2,BZ14,Astro,2,1,3,1,1,4,3,1,2,0
622x6005-2,BZ14,Smc,2,1,3,1,1,4,3,1,2,0
621x686-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
608x6495-2,BZ14,Astro,2,1,3,1,1,4,3,1,2,0
675x2050-2,BZ14,Reln,1,7,2,7,1,2,3,1,2,2
718x5878-2,BZ14,Astro,2,1,3,1,1,4,3,1,2,0
682x3065-2,BZ14,Endo,2,1,3,1,1,2,3,1,2,0
683x6467-2,BZ14,Astro,2,1,3,1,1,4,3,1,2,0
662x445-2,BZ14,Astro,1,1,2,1,2,2,3,2,2,0
691x2692-2,BZ14,Reln,2,7,3,7,1,2,3,1,2,2
683x340-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
678x3620-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
754x144-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
792x1030-2,BZ14,eL2/3,1,3,2,3,2,2,2,2,2,3
806x1748-2,BZ14,eL2/3,1,3,2,3,2,2,3,2,2,3
809x742-2,BZ14,Astro,1,1,2,1,2,2,1,2,2,0
840x3681-2,BZ14,Astro,2,1,3,1,1,2,3,1,2,0
878x4498-2,BZ14,Astro,1,1,3,1,1,2,3,1,2,0
956x674-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
942x433-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
952x2048-2,BZ14,Reln,1,7,2,7,1,2,3,2,2,2
977x1702-2,BZ14,eL2/3,1,7,2,7,2,2,3,2,2,2
1061x2466-2,BZ14,Reln,1,7,2,7,1,2,3,2,2,2
1002x133-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1088x1005-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1129x1221-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1097x2692-2,BZ14,Astro,1,1,2,1,1,2,1,3,2,0
1154x5139-2,BZ14,Astro,2,1,3,1,1,2,1,1,2,0
1138x597-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1157x336-2,BZ14,NPY,1,7,2,7,2,2,3,2,2,2
1171x2099-2,BZ14,Astro,1,1,2,1,2,2,3,2,2,0
1157x1675-2,BZ14,Astro,1,3,2,3,2,2,1,2,2,0
1198x98-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1267x1251-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1286x1631-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1299x545-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,3
1293x5715-2,BZ14,Reln,1,7,3,7,1,2,3,2,2,2
1320x173-2,BZ14,eL2/3,1,1,2,1,2,2,1,2,2,0
1318x2259-2,BZ14,eL2/3,1,3,2,3,2,2,1,2,2,0
1342x1797-2,BZ14,eL2/3,1,1,2,1,2,2,1,2,2,0
1330x3737-2,BZ14,Astro,1,1,2,1,1,2,3,1,2,0
